NewIN124715	Station:  LAFAYETTE 5 S IN	CLIGEN VER. 5.30000	ObservedYears:40	SIMULATEDYears:50	DataUnits:mm
CNvalue	CN000	CN030	CN031	CN032	CN033	CN034	CN035	CN036	CN037	CN038	CN039	CN040	CN041	CN042	CN043	CN044	CN045	CN046	CN047	CN048	CN049	CN050	CN051	CN052	CN053	CN054	CN055	CN056	CN057	CN058	CN059	CN060	CN061	CN062	CN063	CN064	CN065	CN066	CN067	CN068	CN069	CN070	CN071	CN072	CN073	CN074	CN075	CN076	CN077	CN078	CN079	CN080	CN081	CN082	CN083	CN084	CN085	CN086	CN087	CN088	CN089	CN090	CN091	CN092	CN093	CN094	CN095	CN096	CN097	CN098	CN099	CN100	
year011	    0.00    0.00    0.01    0.10    0.28    0.54    0.90    1.40    2.04    2.82    3.71    4.72    5.84    7.06    8.39    9.81   11.33   12.93   14.62   16.40   18.30   20.31   22.42   24.65   26.99   29.43   31.98   34.67   37.48   40.42   43.49   46.68   50.03   53.56   57.25   61.14   65.23   69.53   74.05   78.80   83.79   89.05   94.60  100.49  106.74  113.41  120.54  128.17  136.32  145.05  154.40  164.47  175.34  187.10  199.84  213.66  228.72  245.22  263.34  283.30  305.39  329.97  357.47  388.42  423.56  463.92  511.01  567.04  635.58  722.76  841.37    0.00
year012	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.03    0.13    0.29    0.56    0.93    1.39    1.96    2.61    3.35    4.17    5.08    6.06    7.13    8.27    9.48   10.77   12.13   13.57   15.08   16.68   18.39   20.19   22.09   24.11   26.27   28.58   31.03   33.63   36.38   39.33   42.49   45.90   49.58   53.54   57.82   62.47   67.54   73.09   79.17   85.84   93.17  101.25  110.14  119.92  130.69  142.57  155.68  170.16  186.19  203.95  223.68  245.65  270.23  297.91  329.27  365.07  406.30  454.47  511.78  581.63  670.48  792.45    0.00
year013	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.02    0.11    0.25    0.44    0.69    0.98    1.32    1.71    2.14    2.62    3.13    3.69    4.30    4.98    5.74    6.56    7.45    8.40    9.43   10.52   11.69   12.95   14.30   15.75   17.31   18.98   20.77   22.68   24.72   26.91   29.24   31.73   34.39   37.27   40.37   43.73   47.36   51.30   55.60   60.33   65.54   71.30   77.63   84.61   92.27  100.72  110.12  120.58  132.25  145.26  159.84  176.26  194.85  216.05  240.38  268.59  301.69  341.15  389.15  449.11  527.53  639.23    0.00
year014	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.04    0.16    0.34    0.59    0.91    1.29    1.75    2.30    2.95    3.71    4.59    5.58    6.69    7.93    9.33   10.90   12.64   14.59   16.80   19.27   22.02   25.05   28.42   32.17   36.35   40.96   46.06   51.72   57.99   64.88   72.46   80.77   89.91   99.94  110.98  123.14  136.54  151.36  167.80  186.12  206.63  229.64  255.65  285.21  319.05  358.15  403.81  457.83  522.91  603.30  706.87  849.91    0.00
year015	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.02    0.06    0.13    0.22    0.34    0.51    0.76    1.12    1.59    2.21    3.02    4.04    5.29    6.83    8.69   10.88   13.45   16.50   20.08   24.21   28.97   34.47   40.80   48.10   56.51   66.23   77.42   90.32  105.24  122.58  142.91  166.94  195.52  229.84  271.65  323.62  389.92  477.92  603.75    0.00
year016	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.02    0.06    0.19    0.46    0.86    1.43    2.16    3.06    4.14    5.43    6.95    8.72   10.76   13.09   15.72   18.67   21.94   25.57   29.59   34.04   38.94   44.32   50.26   56.79   63.96   71.84   80.52   90.06  100.51  111.95  124.50  138.31  153.56  170.49  189.37  210.51  234.31  261.15  291.58  326.37  366.49  413.23  468.49  535.02  616.99  721.63  864.06    0.00
year017	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.01    0.06    0.17    0.33    0.55    0.84    1.21    1.68    2.26    2.95    3.77    4.72    5.84    7.14    8.66   10.42   12.41   14.64   17.12   19.87   22.92   26.30   30.05   34.20   38.79   43.86   49.46   55.68   62.61   70.35   79.03   88.79   99.82  112.33  126.54  142.70  161.17  182.34  206.66  234.79  267.53  305.98  351.78  407.29  476.10  564.58  685.84    0.00
year018	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.02    0.08    0.17    0.30    0.45    0.64    0.87    1.15    1.53    2.01    2.60    3.30    4.12    5.07    6.16    7.44    8.91   10.61   12.55   14.72   17.15   19.88   22.95   26.38   30.19   34.40   39.03   44.16   49.86   56.20   63.29   71.22   80.10   90.02  101.09  113.44  127.26  142.77  160.26  180.04  202.52  228.20  257.71  291.79  331.39  377.78  432.84  499.45  582.06  688.52  835.37    0.00
year019	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.01    0.04    0.11    0.20    0.31    0.46    0.63    0.86    1.14    1.47    1.88    2.38    3.03    3.84    4.83    6.03    7.44    9.08   10.96   13.10   15.51   18.20   21.21   24.54   28.22   32.30   36.85   42.00   47.85   54.52   62.17   70.94   81.04   92.68  106.14  121.79  140.05  161.50  186.86  217.27  254.29  300.22  358.68  436.60  548.57    0.00
year020	    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.04    0.11    0.23    0.39    0.59    0.83    1.10    1.41    1.77    2.20    2.69    3.24    3.86    4.54    5.29    6.13    7.06    8.08    9.18   10.38   11.70   13.15   14.74   16.49   18.42   20.55   22.87   25.40   28.17   31.20   34.53   38.18   42.16   46.53   51.38   56.74   62.70   69.32   76.68   84.87   93.98  104.13  115.45  128.12  142.37  158.44  176.62  197.30  221.03  248.54  280.78  319.05  365.29  422.50  495.98  597.00    0.00
year021	    0.00    0.00    0.00    0.00    0.00    0.06    0.21    0.42    0.70    1.05    1.46    1.93    2.45    3.03    3.66    4.33    5.05    5.82    6.63    7.48    8.37    9.31   10.28   11.32   12.42   13.59   14.83   16.14   17.50   18.94   20.46   22.06   23.76   25.55   27.44   29.46   31.63   33.98   36.55   39.36   42.42   45.79   49.49   53.53   57.94   62.76   68.00   73.71   79.96   86.79   94.29  102.52  111.53  121.46  132.40  144.47  157.85  172.74  189.35  207.97  228.89  252.43  279.01  309.19  343.69  383.62  430.45  486.26  554.33  640.68  757.98    0.00
